Taxon Code ,Photobiont,Reproductive.Mode,Repro.Structure,Substrate
ABRhyp,none,Sexual,Apothecia,Lichenicolous
ABRpar,none,Sexual,Apothecia,Lichenicolous
ABSdel,Coccoid,Sexual,Apothecia,Lignicolous
ACAleu,Trenteopholia,Sexual,Apothecia,Corticolous
ACAmos,Trenteopholia,Sexual,Apothecia,Corticolous
ACApau,Trenteopholia,Sexual,Apothecia,Corticolous
AGYruf,none,Sexual,Apothecia,Lignicolous
AMAlan,Coccoid,Sexual,Apothecia,Lignicolous
AMAmil,Coccoid,Sexual,Apothecia,Corticolous
AMApol,Coccoid,Sexual,Apothecia,Corticolous
AMApun,Coccoid,Sexual,Apothecia,Corticolous
AMAsp,Coccoid,Sexual,Apothecia,Lignicolous
ANApal,Coccoid,Sexual,Apothecia,Corticolous
ANZcol,Coccoid,Sexual,Apothecia,Corticolous
ARTage,none,Sexual,Apothecia,Lichenicolous
ARTalb,Coccoid,Sexual,Apothecia,Corticolous
ARTang,Trenteopholia,Sexual,Apothecia,Corticolous
ARTcin,Trenteopholia,Sexual,Apothecia,Corticolous
ARTint,Trenteopholia,Sexual,Apothecia,Corticolous
ARTmon,Trenteopholia,Sexual,Apothecia,Corticolous
ARTqui,none,Sexual,Apothecia,Corticolous
ARTrua,Trenteopholia,Sexual,Apothecia,Corticolous
ARTrube,Trenteopholia,Sexual,Apothecia,Corticolous
ARTrubr,Trenteopholia,Sexual,Apothecia,Corticolous
ARTsp,Trenteopholia,Sexual,Apothecia,Corticolous
ARTsub,Trenteopholia,Sexual,Apothecia,Corticolous
ARTsus,Coccoid,Sexual,Apothecia,Corticolous
BACbre,Trenteopholia,Sexual,Apothecia,Corticolous
BACcar,Trenteopholia,Sexual,Apothecia,Corticolous
BACcry,Coccoid,Sexual,Apothecia,Lichenicolous
BACdif,Coccoid,Sexual,Apothecia,Corticolous
BACege,Coccoid,Sexual,Apothecia,Saxicolous
BACekm,Coccoid,Sexual,Apothecia,Corticolous
BACgra,Coccoid,Sexual,Apothecia,Saxicolous
BAChel,Coccoid,Sexual,Apothecia,Corticolous
BAChet,Coccoid,Sexual,Apothecia,Corticolous
BACIDIAsp,Coccoid,Sexual,Apothecia,Corticolous
BACIDINsp,Coccoid,Sexual,Apothecia,Corticolous
BAClam,Trenteopholia,Sexual,Apothecia,Corticolous
BACmyr,Trenteopholia,Sexual,Apothecia,Corticolous
BACpur,Coccoid,Sexual,Apothecia,Corticolous
BACsch,Coccoid,Sexual,Apothecia,Corticolous
BACsuf,Coccoid,Sexual,Apothecia,Corticolous
BACvar,Coccoid,Sexual,Apothecia,Corticolous
BIAlon,Coccoid,Sexual,Apothecia,Corticolous
BIAsp,Coccoid,Sexual,Apothecia,Corticolous
BRIleu,Coccoid,Sexual,Apothecia,Corticolous
BUEcur,Coccoid,Sexual,Apothecia,Corticolous
BUEeli,Coccoid,Sexual,Apothecia,Corticolous
BUEims,Coccoid,Sexual,Apothecia,Corticolous
BUEmin,none,Sexual,Apothecia,Lichenicolous
BUEsti,Coccoid,Sexual,Apothecia,Corticolous
BUEtry,none,Sexual,Apothecia,Lichenicolous
BUEver,Coccoid,Sexual,Apothecia,Corticolous
BULcon,Coccoid,Sexual,Apothecia,Corticolous
BYSleu,Coccoid,Sexual,Apothecia,Corticolous
BYSmea,Coccoid,Sexual,Apothecia,Corticolous
BYSsp,Coccoid,Sexual,Apothecia,Corticolous
CALcam,Coccoid,Sexual,Apothecia,Corticolous
CALfer,Coccoid,Sexual,Apothecia,Saxicolous
CALflavor,Coccoid,Sexual,Apothecia,Corticolous
CALhol,Coccoid,Sexual,Apothecia,Corticolous
CALhyp,Coccoid,Sexual,Apothecia,Corticolous
CALIsp,Coccoid,Sexual,Apothecia,Corticolous
CALOsp,Coccoid,Sexual,Apothecia,Corticolous
CALpui,Coccoid,Fungal,Apothecia,Foliicolous
CALsal,Coccoid,Sexual,Apothecia,Corticolous
CALsub,Coccoid,Sexual,Apothecia,Saxicolous
CATatr,Coccoid,Sexual,Apothecia,Corticolous
CATsp,Coccoid,Sexual,Apothecia,Muscicolous
CHAbru,Coccoid,Sexual,Apothecia,Lignicolous
CHAflo,Coccoid,Sexual,Apothecia,Corticolous
CHAhis,Coccoid,Sexual,Apothecia,Corticolous
CHAhyg,Coccoid,Sexual,Apothecia,Corticolous
CHAkal,none,Sexual,Apothecia,Lichenicolous
CHAnan,none,Sexual,Apothecia,Corticolous
CHAoli,Coccoid,Sexual,Apothecia,Corticolous
CHApuiso,none,Sexual,Apothecia,Lignicolous
CHApusil,none,Sexual,Apothecia,Lignicolous
CHArap,none,Sexual,Apothecia,Lignicolous
CHAsp,Coccoid,Sexual,Apothecia,Corticolous
CLAatl,Coccoid,Sexual,Apothecia,Terricolous
CLAcae,Coccoid,Sexual,Apothecia,Muscicolous
CLAcri,Coccoid,Sexual,Apothecia,Terricolous
CLAdim,Coccoid,Sexual,Apothecia,Terricolous
CLAeva,Coccoid,Sexual,Apothecia,Terricolous
CLAlep,Coccoid,Sexual,Apothecia,Terricolous
CLApac,Coccoid,Sexual,Apothecia,Terricolous
CLApez,Coccoid,Sexual,Apothecia,Muscicolous
CLApie,Coccoid,Sexual,Apothecia,Terricolous
CLApolycarpi,Coccoid,Sexual,Apothecia,Terricolous
CLApolycarpo,Coccoid,Sexual,Apothecia,Terricolous
CLArap,Coccoid,Sexual,Apothecia,Terricolous
CLAsim,Coccoid,Sexual,Apothecia,Terricolous
CLAstr,Coccoid,Sexual,Apothecia,Terricolous
CLAsubc,Coccoid,Sexual,Apothecia,Terricolous
CLAsubm,Coccoid,Sexual,Apothecia,Terricolous
CLAsubs,Coccoid,Sexual,Apothecia,Terricolous
CLAsubt,Coccoid,Sexual,Apothecia,Terricolous
CLAunc,Coccoid,Sexual,Apothecia,Terricolous
COCery,Cyanobacteria,Sexual,Apothecia,Corticolous
COEint,Trenteopholia,Sexual,Apothecia,Corticolous
COElut,Trenteopholia,Sexual,Apothecia,Corticolous
COEpin,Trenteopholia,Sexual,Apothecia,Corticolous
COEsp,Trenteopholia,Sexual,Apothecia,Corticolous
COLpul,Cyanobacteria,Sexual,Apothecia,Corticolous
COLpull,Cyanobacteria,Sexual,Apothecia,Corticolous
CONpyr,Trenteopholia,Sexual,Apothecia,Corticolous
CREfla,Trenteopholia,Sexual,Apothecia,Corticolous
DACinq,none,Sexual,Apothecia,Lichenicolous
DAClur,none,Sexual,Apothecia,Lichenicolous
DIRcon,Coccoid,Sexual,Apothecia,Corticolous
DYPafz,Trenteopholia,Sexual,Apothecia,Corticolous
ENTang,Trenteopholia,Sexual,Apothecia,Corticolous
FELsp,Coccoid,Sexual,Apothecia,Foliicolous
FISall,Trenteopholia,Sexual,Apothecia,Corticolous
FISame,Trenteopholia,Sexual,Apothecia,Corticolous
FIScol,Trenteopholia,Sexual,Apothecia,Corticolous
FIScyp,Trenteopholia,Sexual,Apothecia,Corticolous
FISili,Trenteopholia,Sexual,Apothecia,Corticolous
FISill,Trenteopholia,Sexual,Apothecia,Corticolous
FISinc,Trenteopholia,Sexual,Apothecia,Corticolous
FISins,Trenteopholia,Sexual,Apothecia,Corticolous
FISsco,Trenteopholia,Sexual,Apothecia,Corticolous
FISsp,Trenteopholia,Sexual,Apothecia,Corticolous
FISsub,Trenteopholia,Sexual,Apothecia,Corticolous
FUSleu,Cyanobacteria,Sexual,Apothecia,Corticolous
GASaci,Coccoid,Sexual,Apothecia,Corticolous
GLYcic,Trenteopholia,Sexual,Apothecia,Corticolous
GLYscy,Trenteopholia,Sexual,Apothecia,Corticolous
GOMame,Coccoid,Sexual,Apothecia,Muscicolous
GRAbra,Trenteopholia,Sexual,Apothecia,Corticolous
GRAchl,Trenteopholia,Sexual,Apothecia,Corticolous
GRAcin,Trenteopholia,Sexual,Apothecia,Corticolous
GRAcre,Trenteopholia,Sexual,Apothecia,Corticolous
GRAdes,Trenteopholia,Sexual,Apothecia,Corticolous
GRAdup,Trenteopholia,Sexual,Apothecia,Corticolous
GRAend,Trenteopholia,Sexual,Apothecia,Corticolous
GRAfur,Trenteopholia,Sexual,Apothecia,Corticolous
GRAhan,Trenteopholia,Sexual,Apothecia,Corticolous
GRAhos,Trenteopholia,Sexual,Apothecia,Corticolous
GRAhyp,Trenteopholia,Sexual,Apothecia,Corticolous
GRAint,Trenteopholia,Sexual,Apothecia,Corticolous
GRAinv,Trenteopholia,Sexual,Apothecia,Corticolous
GRAlib,Trenteopholia,Sexual,Apothecia,Corticolous
GRAlin,Trenteopholia,Sexual,Apothecia,Corticolous
GRAluc,Trenteopholia,Sexual,Apothecia,Corticolous
GRAper,Trenteopholia,Sexual,Apothecia,Corticolous
GRApin,Trenteopholia,Sexual,Apothecia,Corticolous
GRAscr,Trenteopholia,Sexual,Apothecia,Corticolous
GRAsp,Trenteopholia,Sexual,Apothecia,Corticolous
GRAstr,Trenteopholia,Sexual,Apothecia,Corticolous
GRAten,Trenteopholia,Sexual,Apothecia,Corticolous
GRAvit,Trenteopholia,Sexual,Apothecia,Corticolous
GRAxyl,Trenteopholia,Sexual,Apothecia,Corticolous
GYAbuc,Coccoid,Fungal,Apothecia,Corticolous
GYAflo,none,Sexual,Apothecia,Lichenicolous
GYAmoo,Coccoid,Fungal,Apothecia,Muscicolous
GYAsp,Coccoid,Sexual,Apothecia,Corticolous
GYAsub,Coccoid,Fungal,Apothecia,Lignicolous
HAEacc,Coccoid,Sexual,Apothecia,Corticolous
HAEfle,Coccoid,Sexual,Apothecia,Corticolous
HAEper,Coccoid,Sexual,Apothecia,Corticolous
HAEsp,Coccoid,Sexual,Apothecia,Corticolous
HAFsp,Coccoid,Sexual,Apothecia,Corticolous
HALsp,Trenteopholia,Sexual,Apothecia,Corticolous
HEPadg,Cyanobacteria,Sexual,Apothecia,Terricolous
HETech,Coccoid,Sexual,Apothecia,Corticolous
HYPliv,Coccoid,Sexual,Apothecia,Corticolous
HYPsyn,Coccoid,Sexual,Apothecia,Corticolous
LECarg,Coccoid,Sexual,Apothecia,Corticolous
LECcaes,Coccoid,Sexual,Apothecia,Corticolous
LECchl,Coccoid,Sexual,Apothecia,Corticolous
LECcin,Coccoid,Sexual,Apothecia,Corticolous
LECcup,Coccoid,Sexual,Apothecia,Corticolous
LECepi,Trenteopholia,Sexual,Apothecia,Corticolous
LEChyb,Coccoid,Sexual,Apothecia,Corticolous
LECims,Coccoid,Sexual,Apothecia,Corticolous
LEClou,Coccoid,Sexual,Apothecia,Corticolous
LECstra,Coccoid,Sexual,Apothecia,Corticolous
LECstro,Coccoid,Sexual,Apothecia,Corticolous
LECsub,Coccoid,Sexual,Apothecia,Corticolous
LEIerr,Coccoid,Sexual,Apothecia,Saxicolous
LEIexp,Trenteopholia,Sexual,Apothecia,Corticolous
LEIser,Trenteopholia,Sexual,Apothecia,Corticolous
LEPazu,Cyanobacteria,Sexual,Apothecia,Corticolous
LEPchl,Cyanobacteria,Sexual,Apothecia,Corticolous
LEPcor,Cyanobacteria,Sexual,Apothecia,Corticolous
LEPjun,Cyanobacteria,Sexual,Apothecia,Muscicolous
LEPwig,Trenteopholia,Sexual,Apothecia,Corticolous
LEUsub,Trenteopholia,Sexual,Apothecia,Corticolous
LOBque,Coccoid,Sexual,Apothecia,Corticolous
LOBrav,Coccoid,Sexual,Apothecia,Corticolous
MALsp,Coccoid,Sexual,Apothecia,Corticolous
MARpol,Coccoid,Sexual,Apothecia,Corticolous
MAZcar,Trenteopholia,Sexual,Apothecia,Corticolous
MEGsp,Coccoid,Sexual,Apothecia,Corticolous
MELsp,none,Sexual,Apothecia,Corticolous
MELtrib,none,Sexual,Apothecia,Lichenicolous
MICant,Coccoid,Sexual,Apothecia,Lignicolous
MICchl,Coccoid,Sexual,Apothecia,Corticolous
MICmic,Coccoid,Sexual,Apothecia,Corticolous
MICneo,Coccoid,Sexual,Apothecia,Corticolous
MICnig,Coccoid,Sexual,Apothecia,Lignicolous
MICpel,Coccoid,Sexual,Apothecia,Corticolous
MICpra,Coccoid,Sexual,Apothecia,Corticolous
MICsp,Coccoid,Sexual,Apothecia,Corticolous
MICsyn,Coccoid,Sexual,Apothecia,Corticolous
MYCsubt,none,Sexual,Apothecia,Lignicolous
MYRrug,Trenteopholia,Sexual,Apothecia,Corticolous
OCEame,Trenteopholia,Sexual,Apothecia,Corticolous
OCEpra,Trenteopholia,Sexual,Apothecia,Corticolous
OCEsan,Trenteopholia,Sexual,Apothecia,Corticolous
OCHafr,Coccoid,Sexual,Apothecia,Corticolous
OCHtro,Coccoid,Sexual,Apothecia,Corticolous
OPEano,none,Sexual,Apothecia,Lichenicolous
OPEast,Trenteopholia,Sexual,Apothecia,Corticolous
OPEatr,Trenteopholia,Sexual,Apothecia,Corticolous
OPElon,Trenteopholia,Sexual,Apothecia,Corticolous
OPEmel,none,Sexual,Apothecia,Lichenicolous
OPEsp,Trenteopholia,Sexual,Apothecia,Corticolous
OPEvar,Trenteopholia,Sexual,Apothecia,Corticolous
OPEvir,Trenteopholia,Sexual,Apothecia,Corticolous
OPEvul,Trenteopholia,Sexual,Apothecia,Corticolous
PANlur,Cyanobacteria,Sexual,Apothecia,Corticolous
PANrub,Cyanobacteria,Sexual,Apothecia,Corticolous
PARper,Coccoid,Sexual,Apothecia,Corticolous
PARsubm,Coccoid,Sexual,Apothecia,Corticolous
PARsubr,Coccoid,Sexual,Apothecia,Corticolous
PELneo,Cyanobacteria,Sexual,Apothecia,Muscicolous
PELpra,Cyanobacteria,Sexual,Apothecia,Muscicolous
PELsp,Cyanobacteria,Sexual,Apothecia,Terricolous
PERepi,Coccoid,Sexual,Apothecia,Corticolous
PERmac,Coccoid,Sexual,Apothecia,Corticolous
PERneo,Coccoid,Sexual,Apothecia,Corticolous
PERobr,Coccoid,Sexual,Apothecia,Corticolous
PERost,Coccoid,Sexual,Apothecia,Corticolous
PERpar,Coccoid,Sexual,Apothecia,Corticolous
PERpro,Coccoid,Sexual,Apothecia,Corticolous
PERpus,Coccoid,Sexual,Apothecia,Corticolous
PERsin,Coccoid,Sexual,Apothecia,Corticolous
PERsp,Coccoid,Sexual,Apothecia,Corticolous
PERsub,Coccoid,Sexual,Apothecia,Corticolous
PERtet,Coccoid,Sexual,Apothecia,Corticolous
PERtex,Coccoid,Sexual,Apothecia,Corticolous
PERvir,Coccoid,Sexual,Apothecia,Corticolous
PHAbra,Trenteopholia,Sexual,Apothecia,Corticolous
PHAEOGsp,Trenteopholia,Sexual,Apothecia,Corticolous
PHAeru,Trenteopholia,Sexual,Apothecia,Corticolous
PHAinu,Trenteopholia,Sexual,Apothecia,Corticolous
PHAlob,Trenteopholia,Sexual,Apothecia,Corticolous
PHAori,Trenteopholia,Sexual,Apothecia,Corticolous
PHApol,none,Sexual,Apothecia,Fungicolous
PHLbol,Coccoid,Sexual,Apothecia,Corticolous
PHYneo,Coccoid,Sexual,Apothecia,Corticolous
PHYpum,Coccoid,Sexual,Apothecia,Corticolous
PICnan,Coccoid,Sexual,Apothecia,Corticolous
PLAhyp,Coccoid,Sexual,Apothecia,Terricolous
PLAoli,Coccoid,Sexual,Apothecia,Terricolous
PLAsp,Trenteopholia,Sexual,Apothecia,Corticolous
PLAuli,Coccoid,Sexual,Apothecia,Terricolous
PSEule,Coccoid,Sexual,Apothecia,Corticolous
PYRjav,Trenteopholia,Sexual,Apothecia,Corticolous
PYRsp,Coccoid,Sexual,Apothecia,Corticolous
PYRvar,Coccoid,Sexual,Apothecia,Corticolous
RAMame,Coccoid,Sexual,Apothecia,Corticolous
RAMcom,Coccoid,Sexual,Apothecia,Corticolous
RAMcul,Coccoid,Sexual,Apothecia,Corticolous
RAMhae,Coccoid,Sexual,Apothecia,Corticolous
RAMmic,Trenteopholia,Sexual,Apothecia,Corticolous
RAMmon,Coccoid,Sexual,Apothecia,Corticolous
RAMrus,Coccoid,Sexual,Apothecia,Corticolous
RAMsp,Coccoid,Sexual,Apothecia,Corticolous
RAMste,Coccoid,Sexual,Apothecia,Corticolous
RAMwil,Coccoid,Sexual,Apothecia,Corticolous
RINdol,Coccoid,Sexual,Apothecia,Corticolous
RINgra,Coccoid,Sexual,Apothecia,Corticolous
RINmac,Coccoid,Sexual,Apothecia,Corticolous
RINsub,Coccoid,Sexual,Apothecia,Corticolous
SARres,none,Sexual,Apothecia,Corticolous
SARtri,Trenteopholia,Sexual,Apothecia,Corticolous
SCHcra,none,Sexual,Apothecia,Corticolous
SCHgla,Trenteopholia,Sexual,Apothecia,Corticolous
SCHrap,Trenteopholia,Sexual,Apothecia,Corticolous
SCOchl,Coccoid,Sexual,Apothecia,Corticolous
SCOpen,Coccoid,Sexual,Apothecia,Corticolous
SCOsp,Coccoid,Sexual,Apothecia,Corticolous
SKYlec,none,Sexual,Apothecia,Lichenicolous
SPHtub,none,Sexual,Apothecia,Lichenicolous
STICsp,none,Sexual,Apothecia,Corticolous
TEPatr,Coccoid,Sexual,Apothecia,Corticolous
THAcin,Trenteopholia,Sexual,Apothecia,Corticolous
THAhyp,Trenteopholia,Sexual,Apothecia,Corticolous
THEadj,Trenteopholia,Sexual,Apothecia,Corticolous
THEdef,Trenteopholia,Sexual,Apothecia,Corticolous
THEdil,Trenteopholia,Sexual,Apothecia,Corticolous
THElat,Trenteopholia,Sexual,Apothecia,Corticolous
THEmon,Trenteopholia,Sexual,Apothecia,Corticolous
